2026-07-21 18:24:52 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 18:26:10 | INFO    | app.main | GET / -> 200 (5.8ms)
2026-07-21 18:26:10 | INFO    | app.main | GET /src/main.ts -> 404 (0.5ms)
2026-07-21 18:26:10 | INFO    | app.main | GET /favicon.ico -> 404 (0.3ms)
2026-07-21 18:26:12 | INFO    | app.main | GET / -> 200 (5.2ms)
2026-07-21 18:26:12 | INFO    | app.main | GET /src/main.ts -> 404 (0.5ms)
2026-07-21 18:31:51 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 18:33:33 | INFO    | app.main | GET / -> 200 (6.2ms)
2026-07-21 18:33:33 | INFO    | app.main | GET /src/main.ts -> 404 (0.5ms)
2026-07-21 18:33:33 | INFO    | app.main | GET /favicon.ico -> 404 (0.6ms)
2026-07-21 18:38:41 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 18:39:02 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 18:40:47 | INFO    | app.main | 后端服务启动完成，日志文件: backend/log.txt
2026-07-21 18:41:15 | ERROR   | app.routers.rows | 查询 dashenlin rows 失败: connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

2026-07-21 18:41:15 | ERROR   | app.routers.stats | 点击统计 dashenlin 失败: connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

2026-07-21 18:41:15 | INFO    | app.main | GET /api/dashenlin/rows -> 500 (63.7ms)
2026-07-21 18:41:15 | INFO    | app.main | GET /api/dashenlin/stats/click -> 500 (64.1ms)
2026-07-21 18:41:16 | ERROR   | app.routers.rows | 查询 dashenlin rows 失败: connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

2026-07-21 18:41:16 | ERROR   | app.routers.stats | 点击统计 dashenlin 失败: connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

2026-07-21 18:41:16 | INFO    | app.main | GET /api/dashenlin/rows -> 500 (4.0ms)
2026-07-21 18:41:16 | INFO    | app.main | GET /api/dashenlin/stats/click -> 500 (6.4ms)
2026-07-21 18:41:17 | INFO    | app.main | POST /api/log/frontend -> 200 (13.6ms)
2026-07-21 18:42:05 | ERROR   | app.routers.stats | 点击统计 dashenlin 失败: connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

2026-07-21 18:42:05 | ERROR   | app.routers.rows | 查询 dashenlin rows 失败: connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

